repositoryName1,repositoryName2,intersection,similarity
eclipsesource/J2V8,maxmind/geoip-api-java,"[junit:junit, org.mockito:mockito-core]",1.0
JMCuixy/swagger2word,karcan/javaBootcamp,"[io.springfox:springfox-swagger-ui, io.springfox:springfox-swagger2]",1.0
albfernandez/juniversalchardet,j256/two-factor-auth,"[commons-codec:commons-codec, junit:junit]",1.0
socketio/engine.io-client-java,upyun/java-sdk,"[com.squareup.okhttp3:okhttp, junit:junit, org.json:json]",0.75
SAP/SapMachine,openjdk/jdk17,"[com.sun.hotspot.igv:Bytecodes, com.sun.hotspot.igv:ControlFlow, com.sun.hotspot.igv:Coordinator, com.sun.hotspot.igv:Data, com.sun.hotspot.igv:Difference, com.sun.hotspot.igv:Filter, com.sun.hotspot.igv:FilterWindow, com.sun.hotspot.igv:Graal, com.sun.hotspot.igv:Graph, com.sun.hotspot.igv:HierarchicalLayout, com.sun.hotspot.igv:Layout, com.sun.hotspot.igv:NetworkConnection, com.sun.hotspot.igv:SelectionCoordinator, com.sun.hotspot.igv:ServerCompiler, com.sun.hotspot.igv:Settings, com.sun.hotspot.igv:Util, com.sun.hotspot.igv:View, com.sun.hotspot.igv:branding, junit:junit, net.java.dev.swing-layout:swing-layout, org.netbeans.api:org-netbeans-api-progress, org.netbeans.api:org-netbeans-api-progress-nb, org.netbeans.api:org-netbeans-api-visual, org.netbeans.api:org-netbeans-modules-nbjunit, org.netbeans.api:org-netbeans-modules-options-api, org.netbeans.api:org-netbeans-spi-quicksearch, org.netbeans.api:org-openide-actions, org.netbeans.api:org-openide-awt, org.netbeans.api:org-openide-dialogs, org.netbeans.api:org-openide-explorer, org.netbeans.api:org-openide-filesystems, org.netbeans.api:org-openide-loaders, org.netbeans.api:org-openide-nodes, org.netbeans.api:org-openide-util, org.netbeans.api:org-openide-util-lookup, org.netbeans.api:org-openide-util-ui, org.netbeans.api:org-openide-windows]",0.9
apache/guacamole-client,glyptodon/guacamole-client,"[ch.qos.logback:logback-classic, com.fasterxml.jackson.core:jackson-annotations, com.fasterxml.jackson.core:jackson-core, com.fasterxml.jackson.core:jackson-databind, com.fasterxml.jackson.dataformat:jackson-dataformat-yaml, com.fasterxml.jackson.module:jackson-module-jaxb-annotations, com.google.guava:guava, com.google.inject.extensions:guice-assistedinject, com.google.inject.extensions:guice-servlet, com.google.inject:guice, com.google.zxing:core, com.google.zxing:javase, com.onelogin:java-saml, commons-codec:commons-codec, commons-collections:commons-collections, commons-logging:commons-logging, javax.annotation:jsr250-api, javax.servlet:servlet-api, javax.websocket:javax.websocket-api, javax.ws.rs:javax.ws.rs-api, javax.ws.rs:jsr311-api, junit:junit, net.jradius:jradius-core, net.jradius:jradius-dictionary, net.jradius:jradius-extended, org.apache.directory.api:api-all, org.apache.guacamole:guacamole-auth-jdbc-base, org.apache.guacamole:guacamole-auth-jdbc-mysql, org.apache.guacamole:guacamole-auth-jdbc-postgresql, org.apache.guacamole:guacamole-auth-jdbc-sqlserver, org.apache.guacamole:guacamole-common, org.apache.guacamole:guacamole-ext, org.apache.tomcat:tomcat-catalina, org.apache.tomcat:tomcat-coyote, org.bitbucket.b_c:jose4j, org.eclipse.jetty.websocket:websocket-api, org.eclipse.jetty.websocket:websocket-servlet, org.eclipse.jetty:jetty-websocket, org.glassfish.hk2:guice-bridge, org.glassfish.jersey.containers:jersey-container-servlet-core, org.glassfish.jersey.inject:jersey-hk2, org.glassfish.jersey.media:jersey-media-json-jackson, org.jasig.cas.client:cas-client-core, org.junit.jupiter:junit-jupiter-api, org.junit.jupiter:junit-jupiter-engine, org.junit.jupiter:junit-jupiter-params, org.mybatis:mybatis, org.mybatis:mybatis-guice, org.slf4j:jul-to-slf4j, org.slf4j:slf4j-api, org.slf4j:slf4j-simple, org.springframework.security:spring-security-web]",0.88
jfree/jfreechart,unitsofmeasurement/unit-api,"[org.junit.jupiter:junit-jupiter-api, org.junit.jupiter:junit-jupiter-engine]",1.0
SAP/SapMachine,openjdk/panama-foreign,"[com.github.librepdf:openpdf, com.sun.hotspot.igv:Bytecodes, com.sun.hotspot.igv:ControlFlow, com.sun.hotspot.igv:Coordinator, com.sun.hotspot.igv:Data, com.sun.hotspot.igv:Difference, com.sun.hotspot.igv:Filter, com.sun.hotspot.igv:FilterWindow, com.sun.hotspot.igv:Graal, com.sun.hotspot.igv:Graph, com.sun.hotspot.igv:HierarchicalLayout, com.sun.hotspot.igv:Layout, com.sun.hotspot.igv:NetworkConnection, com.sun.hotspot.igv:SelectionCoordinator, com.sun.hotspot.igv:ServerCompiler, com.sun.hotspot.igv:Settings, com.sun.hotspot.igv:Util, com.sun.hotspot.igv:View, com.sun.hotspot.igv:branding, junit:junit, net.java.dev.swing-layout:swing-layout, org.apache.xmlgraphics:batik-dom, org.apache.xmlgraphics:batik-svggen, org.netbeans.api:org-netbeans-api-progress, org.netbeans.api:org-netbeans-api-progress-nb, org.netbeans.api:org-netbeans-api-visual, org.netbeans.api:org-netbeans-modules-nbjunit, org.netbeans.api:org-netbeans-modules-options-api, org.netbeans.api:org-netbeans-spi-quicksearch, org.netbeans.api:org-openide-actions, org.netbeans.api:org-openide-awt, org.netbeans.api:org-openide-dialogs, org.netbeans.api:org-openide-explorer, org.netbeans.api:org-openide-filesystems, org.netbeans.api:org-openide-loaders, org.netbeans.api:org-openide-nodes, org.netbeans.api:org-openide-util, org.netbeans.api:org-openide-util-lookup, org.netbeans.api:org-openide-util-ui, org.netbeans.api:org-openide-windows]",1.0
JMCuixy/swagger2word,cheese10yun/spring-guide,"[io.springfox:springfox-swagger-ui, io.springfox:springfox-swagger2]",1.0
mr-hashemi/mr-hashemi,oracle/graal,"[junit:junit, org.antlr:antlr4-runtime, org.graalvm.sdk:graal-sdk, org.graalvm.truffle:truffle-api, org.graalvm.truffle:truffle-dsl-processor, org.graalvm.truffle:truffle-tck]",0.75
Bukkit/Bukkit,SpigotMC/Spigot-API,"[com.google.guava:guava, com.googlecode.json-simple:json-simple, commons-lang:commons-lang, junit:junit, org.avaje:ebean, org.hamcrest:hamcrest-library, org.yaml:snakeyaml]",1.0
maxmind/geoip-api-java,stateless4j/stateless4j,"[junit:junit, org.mockito:mockito-core]",1.0
openjdk/jdk17,openjdk/panama-foreign,"[com.sun.hotspot.igv:Bytecodes, com.sun.hotspot.igv:ControlFlow, com.sun.hotspot.igv:Coordinator, com.sun.hotspot.igv:Data, com.sun.hotspot.igv:Difference, com.sun.hotspot.igv:Filter, com.sun.hotspot.igv:FilterWindow, com.sun.hotspot.igv:Graal, com.sun.hotspot.igv:Graph, com.sun.hotspot.igv:HierarchicalLayout, com.sun.hotspot.igv:Layout, com.sun.hotspot.igv:NetworkConnection, com.sun.hotspot.igv:SelectionCoordinator, com.sun.hotspot.igv:ServerCompiler, com.sun.hotspot.igv:Settings, com.sun.hotspot.igv:Util, com.sun.hotspot.igv:View, com.sun.hotspot.igv:branding, junit:junit, net.java.dev.swing-layout:swing-layout, org.netbeans.api:org-netbeans-api-progress, org.netbeans.api:org-netbeans-api-progress-nb, org.netbeans.api:org-netbeans-api-visual, org.netbeans.api:org-netbeans-modules-nbjunit, org.netbeans.api:org-netbeans-modules-options-api, org.netbeans.api:org-netbeans-spi-quicksearch, org.netbeans.api:org-openide-actions, org.netbeans.api:org-openide-awt, org.netbeans.api:org-openide-dialogs, org.netbeans.api:org-openide-explorer, org.netbeans.api:org-openide-filesystems, org.netbeans.api:org-openide-loaders, org.netbeans.api:org-openide-nodes, org.netbeans.api:org-openide-util, org.netbeans.api:org-openide-util-lookup, org.netbeans.api:org-openide-util-ui, org.netbeans.api:org-openide-windows]",0.9
zuihou/lamp-boot,zuihou/lamp-cloud,"[top.tangyh.basic:lamp-annotation, top.tangyh.basic:lamp-boot-util, top.tangyh.basic:lamp-cache-starter, top.tangyh.basic:lamp-core, top.tangyh.basic:lamp-databases, top.tangyh.basic:lamp-dozer-starter, top.tangyh.basic:lamp-echo-starter, top.tangyh.basic:lamp-jwt-starter, top.tangyh.basic:lamp-log-starter, top.tangyh.basic:lamp-mq-starter, top.tangyh.basic:lamp-security-starter, top.tangyh.basic:lamp-swagger2-starter, top.tangyh.basic:lamp-validator-starter, top.tangyh.basic:lamp-xss-starter, top.tangyh.lamp:lamp-common, top.tangyh.lamp:lamp-msg-biz, top.tangyh.lamp:lamp-msg-controller, top.tangyh.lamp:lamp-msg-entity, top.tangyh.lamp:lamp-sms-biz, top.tangyh.lamp:lamp-sms-controller]",0.77
f2prateek/progressbutton,mcxiaoke/android-volley,"[com.google.android:android, junit:junit, org.mockito:mockito-core, org.robolectric:robolectric]",0.8
eclipsesource/J2V8,stateless4j/stateless4j,"[junit:junit, org.mockito:mockito-core]",1.0
cheese10yun/spring-guide,karcan/javaBootcamp,"[io.springfox:springfox-swagger-ui, io.springfox:springfox-swagger2]",1.0
liuyangming/ByteJTA,liuyangming/ByteTCC,"[aopalliance:aopalliance, cglib:cglib, com.alibaba:dubbo, com.fasterxml.jackson.core:jackson-annotations, com.fasterxml.jackson.core:jackson-core, com.fasterxml.jackson.core:jackson-databind, com.squareup.okhttp3:okhttp, commons-io:commons-io, io.netty:netty-buffer, io.netty:netty-codec, io.netty:netty-codec-http, io.netty:netty-common, io.netty:netty-handler, io.netty:netty-transport, io.netty:netty-transport-native-epoll, io.projectreactor:reactor-core, io.reactivex.rxjava2:rxjava, io.reactivex:rxjava-reactive-streams, javax.annotation:javax.annotation-api, javax.inject:javax.inject, javax.jms:javax.jms-api, javax.resource:javax.resource-api, javax.servlet:javax.servlet-api, javax.transaction:javax.transaction-api, org.apache.commons:commons-lang3, org.apache.curator:curator-client, org.apache.curator:curator-framework, org.apache.curator:curator-recipes, org.apache.zookeeper:zookeeper, org.aspectj:aspectjweaver, org.bytesoft:bytejta-core, org.bytesoft:bytejta-supports, org.bytesoft:bytejta-supports-dubbo, org.bytesoft:bytejta-supports-springcloud, org.mongodb:mongo-java-driver, org.ow2.asm:asm, org.reactivestreams:reactive-streams, org.slf4j:slf4j-api, org.springframework.boot:spring-boot, org.springframework.boot:spring-boot-autoconfigure, org.springframework.boot:spring-boot-starter-web, org.springframework.cloud:spring-cloud-commons, org.springframework.cloud:spring-cloud-config-client, org.springframework.cloud:spring-cloud-netflix-core, org.springframework.cloud:spring-cloud-netflix-eureka-client, org.springframework.cloud:spring-cloud-openfeign-core, org.springframework.cloud:spring-cloud-starter-netflix-eureka-server, org.springframework.cloud:spring-cloud-starter-netflix-hystrix, org.springframework.cloud:spring-cloud-starter-netflix-ribbon, org.springframework.cloud:spring-cloud-starter-openfeign, org.springframework.cloud:spring-cloud-zookeeper-core, org.springframework.retry:spring-retry, org.springframework:spring-aop, org.springframework:spring-context, org.springframework:spring-jdbc, org.springframework:spring-tx, org.springframework:spring-webmvc]",0.77
awslabs/multi-model-server,vdurmont/semver4j,"[junit:junit, org.mockito:mockito-all]",1.0
WeiYe-Jing/datax-web,wxgzgl/LarkMidTable,"[ch.qos.logback:logback-classic, cn.hutool:hutool-all, com.alibaba:fastjson, com.baomidou:mybatis-plus, com.baomidou:mybatis-plus-boot-starter, com.caucho:hessian, com.github.oshi:oshi-core, com.github.xiaoymin:swagger-bootstrap-ui, com.google.guava:guava, com.microsoft.sqlserver:sqljdbc4, com.oracle:ojdbc6, io.jsonwebtoken:jjwt, io.netty:netty-all, io.springfox:springfox-swagger2, io.swagger:swagger-models, junit:junit, mysql:mysql-connector-java, net.java.dev.jna:jna, org.apache.commons:commons-lang3, org.apache.hadoop:hadoop-common, org.apache.hadoop:hadoop-hdfs, org.apache.hbase:hbase-client, org.apache.hive:hive-jdbc, org.apache.phoenix:phoenix-core, org.codehaus.groovy:groovy, org.mongodb:mongo-java-driver, org.postgresql:postgresql, org.slf4j:slf4j-api, org.slf4j:slf4j-log4j12, org.springframework.cloud:spring-cloud-context, org.springframework:spring-beans, org.springframework:spring-context, org.springframework:spring-core, ru.yandex.clickhouse:clickhouse-jdbc]",0.81
google/openrtb,google/openrtb-doubleclick,"[com.google.code.findbugs:jsr305, com.google.guava:guava, com.google.protobuf:protobuf-java, com.google.truth:truth, io.dropwizard.metrics:metrics-core, javax.inject:javax.inject, junit:junit, org.slf4j:slf4j-api, org.slf4j:slf4j-jdk14]",0.82
